Категория,Название,Цена
Доставка,До 1 м³,3500
Доставка,1-5 м³,6000
Доставка,5-10 м³,10400
Доставка,10-18 м³,12700
Общее,За МКАД (руб/км),75
Общее,Пронос от парковки,900
Общее,Скидка партнёр (%),30
Подъём,Диван неразб. до 2м,800
Подъём,Диван неразб. до 3м,1500
Подъём,Диван угловой,1500
Подъём,Диван разборный,500
Подъём,Кресло,500
Подъём,Стул/Полукресло/Пуф,350
Подъём,Декор/Свет,300
Подъём,Банкетка/Тумба/Скамья,500
Подъём,Стеллаж до 1м,500
Подъём,Стеллаж до 2м,1000
Подъём,Комод/ТВ до 60кг,700
Подъём,Комод/ТВ до 90кг,1500
Подъём,Комод/ТВ до 120кг,2000
Подъём,Комод/ТВ до 150кг,2500
Подъём,Зеркало/Картина до 1м,350
Подъём,Зеркало/Картина более 1м,500
Подъём,Стол/Консоль,500
Подъём,Стол обеденный,800
Подъём,Стол мрамор до 60кг,700
Подъём,Стол мрамор до 90кг,1500
Подъём,Стол мрамор до 120кг,2000
Подъём,Стол мрамор до 150кг,2500
Подъём,Стол мрамор до 200кг,3000
Подъём,Кровать разборная,500
Подъём,Кровать неразборная,1500
Сборка,Диван прямой,1800
Сборка,Диван угловой,3800
Сборка,Кровать,4500
Сборка,Стеллаж до 1м,800
Сборка,Стеллаж до 2м,1600
Сборка,Комод/ТВ-тумба,1600
Сборка,Стол/Консоль/Торшер,800
Сборка,Банкетка/Кресло/Стул,800
Сборка,Стол обеденный,1800
Сборка,Столик мрамор,1800
Сборка,Стол обеденный мрамор,4500
Сборка,Зеркало/Картина до 1м,2000
Сборка,Зеркало/Картина более 1м,3000
Сборка,Шкаф/Буфет (% от стоимости),7
Сборка,Корпусная мебель (% от стоимости),7
Ожидание,Бесплатные минуты,15
Ожидание,15-30 мин,2000
Ожидание,30 мин - 1 час,4000
Доп. адрес,До 1 м³,1600
Доп. адрес,1-5 м³,2700
Выезд на сборку,Базовая цена,4500
Выезд на сборку,За МКАД (руб/км),70
Хранение,За день за м³,350
Упаковка,Пузырчатая плёнка (за метр),150
Почасовая,За человека в час,1200
